R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
10,0.8266666666666667,Tailored Approach,2.5120967741935485,0.3,0.8,1.0,9.0,0.35,0.4633333333333333,0.39,0.7016666666666665,1.787996670663815
1,0.38666666666666666,CPI,1.0,0.3,0.75,,,,,,,
2,0.51,CPI,1.2418300653594772,0.3,0.75,,,,,,,
3,0.5666666666666667,CPI,1.4176470588235295,0.3,0.75,,,,,,,
4,0.63,CPI,1.6772486772486772,0.3,0.75,,,,,,,
5,0.6633333333333333,CPI,1.8442211055276383,0.3,0.75,,,,,,,
6,0.69,CPI,2.004830917874396,0.3,0.75,,,,,,,
7,0.7033333333333334,CPI,2.0995260663507107,0.3,0.75,,,,,,,
8,0.7266666666666667,CPI,2.2889908256880735,0.3,0.75,,,,,,,
9,0.74,CPI,2.40990990990991,0.3,0.75,,,,,,,
10,0.7633333333333333,CPI,2.6419213973799125,0.3,0.75,,,,,,,
1,0.47,Tailored Approach,1.0,0.3,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7076666666666668,1.7874210325741156
2,0.55,Tailored Approach,1.1454545454545455,0.3,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7076666666666668,1.7874210325741156
3,0.64,Tailored Approach,1.40625,0.3,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7076666666666668,1.7874210325741156
4,0.71,Tailored Approach,1.6619718309859155,0.3,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7076666666666668,1.7874210325741156
5,0.7366666666666667,Tailored Approach,1.7828054298642535,0.3,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7076666666666668,1.7874210325741156
6,0.7566666666666667,Tailored Approach,1.894273127753304,0.3,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7076666666666668,1.7874210325741156
7,0.7766666666666666,Tailored Approach,2.0257510729613735,0.3,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7076666666666668,1.7874210325741156
8,0.7866666666666666,Tailored Approach,2.1016949152542375,0.3,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7076666666666668,1.7874210325741156
9,0.82,Tailored Approach,2.3821138211382116,0.3,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7076666666666668,1.7874210325741156
10,0.83,Tailored Approach,2.4738955823293174,0.3,0.75,1.0,9.0,0.35,0.4633333333333333,0.38666666666666666,0.7076666666666668,1.7874210325741156
1,0.36666666666666664,CPI,1.0,0.3,0.85,,,,,,,
2,0.47,CPI,1.2198581560283688,0.3,0.85,,,,,,,
3,0.5333333333333333,CPI,1.43125,0.3,0.85,,,,,,,
4,0.6,CPI,1.7166666666666666,0.3,0.85,,,,,,,
5,0.6266666666666667,CPI,1.8563829787234043,0.3,0.85,,,,,,,
6,0.6666666666666666,CPI,2.105,0.3,0.85,,,,,,,
7,0.6933333333333334,CPI,2.293269230769231,0.3,0.85,,,,,,,
8,0.7166666666666667,CPI,2.4790697674418603,0.3,0.85,,,,,,,
9,0.7466666666666667,CPI,2.7410714285714284,0.3,0.85,,,,,,,
10,0.7666666666666667,CPI,2.9304347826086956,0.3,0.85,,,,,,,
1,0.4633333333333333,Tailored Approach,1.0,0.3,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7093333333333333,1.806058496421113
2,0.5733333333333334,Tailored Approach,1.191860465116279,0.3,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7093333333333333,1.806058496421113
3,0.63,Tailored Approach,1.3544973544973544,0.3,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7093333333333333,1.806058496421113
4,0.7033333333333334,Tailored Approach,1.6303317535545023,0.3,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7093333333333333,1.806058496421113
5,0.73,Tailored Approach,1.7534246575342465,0.3,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7093333333333333,1.806058496421113
6,0.75,Tailored Approach,1.8666666666666667,0.3,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7093333333333333,1.806058496421113
7,0.7733333333333333,Tailored Approach,2.021551724137931,0.3,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7093333333333333,1.806058496421113
8,0.8,Tailored Approach,2.220833333333333,0.3,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7093333333333333,1.806058496421113
9,0.83,Tailored Approach,2.465863453815261,0.3,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7093333333333333,1.806058496421113
