#Samples,missing,#Features,#Classes,Gini,#SPH,#CPI,CHI,SIL,DBI,max info loss,Method,Run,n,f,mf,n_clusters,algorithm,n_components,gini,p value
25.93103448275862,0.04987904534546104,100.0,9.10344827586207,0.345133129326571,0,0,0.0,0.0,0.0,,RFperGroup,1,1050,100,0.0,,,,,
752.0,0.2399468085106383,100.0,84.0,0.49506079027355643,0,0,0.0,0.0,0.0,,RF,1,1050,100,0.0,,,,,
303.0344827586207,0.14043166441704438,100.0,40.06896551724138,0.40869901644738255,38,0,0.0,0.0,0.0,0.1,SPH,1,1050,100,0.0,,,,,
180.20689655172413,0.10773918586904657,100.0,28.517241379310345,0.3755575775195397,24,0,0.0,0.0,0.0,0.15,SPH,1,1050,100,0.0,,,,,
125.41379310344827,0.08464279033574183,100.0,19.689655172413794,0.3387999577245704,14,0,0.0,0.0,0.0,0.2,SPH,1,1050,100,0.0,,,,,
107.17241379310344,0.07713767422946262,100.0,17.0,0.3171622029333746,11,0,0.0,0.0,0.0,0.25,SPH,1,1050,100,0.0,,,,,
87.89655172413794,0.06977015955487618,100.0,14.03448275862069,0.29512518679372723,8,0,0.0,0.0,0.0,0.3,SPH,1,1050,100,0.0,,,,,
74.51724137931035,0.06690274337285965,100.0,12.413793103448276,0.28603277755280315,7,0,0.0,0.0,0.0,0.35,SPH,1,1050,100,0.0,,,,,
74.51724137931035,0.06690274337285965,100.0,12.413793103448276,0.28603277755280315,7,0,0.0,0.0,0.0,0.4,SPH,1,1050,100,0.0,,,,,
752.0,0.0,31.0,84.0,0.49506079027355643,0,0,0.0,0.0,0.0,,RF+B,1,1050,100,0.0,,,,,
82.72,0.12302821779382689,110.0,26.29,0.4817209098169732,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.0,10.0,KMeans,,,
53.47555555555555,0.11057266470053079,106.66666666666667,18.56,0.4242458980294122,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.0,15.0,KMeans,,,
39.480000000000004,0.09187803236511816,105.0,14.4375,0.4037630366263084,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.0,20.0,KMeans,,,
31.283199999999997,0.07874061032569313,104.0,12.0224,0.3871690868892535,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.0,25.0,KMeans,,,
30.03550295857988,0.0914334770668274,103.84615384615384,11.70266272189349,0.3708191278335064,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.0,26.0,KMeans,,,
25.90222222222222,0.09342830313221334,103.33333333333333,10.47111111111111,0.3045834536612207,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.0,30.0,KMeans,,,
22.099591836734692,0.08222392465166976,102.85714285714286,9.139591836734695,0.33110447257369385,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.0,35.0,KMeans,,,
19.27,0.07930786460762004,102.5,8.55875,0.32663554179635923,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.0,40.0,KMeans,,,
17.08246913580247,0.0746679112747183,102.22222222222223,7.814320987654321,0.27534776074245676,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.0,45.0,KMeans,,,
15.3408,0.07629593090859332,102.0,7.3031999999999995,0.2606330550454836,0,0,0.0,0.0,0.0,,KMeans,1,1050,100,0.0,50.0,KMeans,,,
82.72,0.1445014600337865,110.0,28.160000000000004,0.49856527907359693,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.0,,GMM,10.0,,
53.47555555555555,0.12744654503336894,106.66666666666667,19.05777777777778,0.44580993973056215,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.0,,GMM,15.0,,
39.480000000000004,0.10608158733049544,105.0,14.7,0.3757884248739588,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.0,,GMM,20.0,,
31.283199999999997,0.09676325494065234,104.0,11.814400000000001,0.3444680787775851,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.0,,GMM,25.0,,
30.03550295857988,0.08997049027731491,103.84615384615384,11.622781065088757,0.3441964988630165,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.0,,GMM,26.0,,
25.90222222222222,0.09516438001303976,103.33333333333333,10.643333333333334,0.31832258290160337,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.0,,GMM,30.0,,
22.099591836734692,0.07683198597333252,102.85714285714286,9.521632653061225,0.32958710586363227,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.0,,GMM,35.0,,
19.27,0.08464301780794845,102.5,8.55875,0.28455640541940813,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.0,,GMM,40.0,,
17.08246913580247,0.07313105407374405,102.22222222222223,7.541728395061729,0.25477239356570885,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.0,,GMM,45.0,,
15.3408,0.07500580869930781,102.0,7.3236,0.2467541304090291,0,0,0.0,0.0,0.0,,GMM,1,1050,100,0.0,,GMM,50.0,,
82.72,0.13292600061362903,110.0,28.380000000000003,0.4788652996487828,0,0,0.0,0.0,0.0,,Birch,1,1050,100,0.0,10.0,Birch,,,
53.47555555555555,0.10673875381371915,106.66666666666667,18.773333333333333,0.45006674661781243,0,0,0.0,0.0,0.0,,Birch,1,1050,100,0.0,15.0,Birch,,,
39.480000000000004,0.09711841945216666,105.0,14.069999999999999,0.4177450867838718,0,0,0.0,0.0,0.0,,Birch,1,1050,100,0.0,20.0,Birch,,,
31.283199999999997,0.08699998556821377,104.0,11.44,0.3828062449248857,0,0,0.0,0.0,0.0,,Birch,1,1050,100,0.0,25.0,Birch,,,
