,Method,R_e,A@e,RA@e,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
72,KMeans,3,0.6733333333333333,1.108910891089109,1,35.0,KMeans,,,,
73,KMeans,4,0.7,1.2190476190476192,1,35.0,KMeans,,,,
74,KMeans,5,0.7333333333333333,1.3909090909090909,1,35.0,KMeans,,,,
75,KMeans,6,0.7733333333333333,1.6293103448275863,1,35.0,KMeans,,,,
76,KMeans,7,0.7866666666666666,1.7203389830508475,1,35.0,KMeans,,,,
77,KMeans,8,0.8233333333333334,2.0,1,35.0,KMeans,,,,
78,KMeans,9,0.8433333333333334,2.16600790513834,1,35.0,KMeans,,,,
79,KMeans,10,0.87,2.4061302681992336,1,35.0,KMeans,,,,
80,KMeans,1,0.6,1.0,1,40.0,KMeans,,,,
81,KMeans,2,0.6433333333333333,1.067357512953368,1,40.0,KMeans,,,,
82,KMeans,3,0.67,1.144278606965174,1,40.0,KMeans,,,,
83,KMeans,4,0.6966666666666667,1.2535885167464116,1,40.0,KMeans,,,,
84,KMeans,5,0.72,1.375,1,40.0,KMeans,,,,
85,KMeans,6,0.76,1.618421052631579,1,40.0,KMeans,,,,
86,KMeans,7,0.8033333333333333,1.9087136929460582,1,40.0,KMeans,,,,
87,KMeans,8,0.8266666666666667,2.0806451612903225,1,40.0,KMeans,,,,
88,KMeans,9,0.8633333333333333,2.3745173745173744,1,40.0,KMeans,,,,
89,KMeans,10,0.8766666666666667,2.4904942965779466,1,40.0,KMeans,,,,
90,KMeans,1,0.61,1.0,1,45.0,KMeans,,,,
91,KMeans,2,0.6666666666666666,1.085,1,45.0,KMeans,,,,
92,KMeans,3,0.6866666666666666,1.1407766990291262,1,45.0,KMeans,,,,
93,KMeans,4,0.7133333333333334,1.2476635514018692,1,45.0,KMeans,,,,
94,KMeans,5,0.7333333333333333,1.35,1,45.0,KMeans,,,,
95,KMeans,6,0.7633333333333333,1.5327510917030567,1,45.0,KMeans,,,,
96,KMeans,7,0.78,1.6495726495726495,1,45.0,KMeans,,,,
97,KMeans,8,0.8133333333333334,1.9098360655737705,1,45.0,KMeans,,,,
98,KMeans,9,0.82,1.967479674796748,1,45.0,KMeans,,,,
99,KMeans,10,0.8433333333333334,2.1897233201581026,1,45.0,KMeans,,,,
100,KMeans,1,0.61,1.0,1,50.0,KMeans,,,,
101,KMeans,2,0.6666666666666666,1.085,1,50.0,KMeans,,,,
102,KMeans,3,0.6966666666666667,1.167464114832536,1,50.0,KMeans,,,,
103,KMeans,4,0.7233333333333334,1.271889400921659,1,50.0,KMeans,,,,
104,KMeans,5,0.7533333333333333,1.420353982300885,1,50.0,KMeans,,,,
105,KMeans,6,0.7866666666666666,1.6144067796610169,1,50.0,KMeans,,,,
106,KMeans,7,0.8066666666666666,1.7479338842975207,1,50.0,KMeans,,,,
