;CM Index;gini_parameter;p_parameter;gini;Training gini;gini SPH;gini CPI;Missing;Missing SPH;Missing CPI;#Classes;#Classes SPH;#Classes CPI;#Samples;#Samples SPH;#Samples CPI;#Features;#Features SPH;#Features CPI;SPH executed;CPI executed
0;gini;0,3;0,7;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,2002724305123065;23,988571428571426;7,310892759402745;7,552185228692692;84;17,24137931034483;14,705882352941176;1050;83,79310344827586;71,47058823529412;100;82,13793103448276;82,13793103448276;10;5
0;gini;0,3;0,8;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,1995378375950153;23,988571428571426;7,310892759402745;7,552185228692692;84;17,24137931034483;14,705882352941176;1050;83,79310344827586;71,47058823529412;100;82,13793103448276;82,13793103448276;10;5
0;gini;0,3;0,75;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,1995378375950153;23,988571428571426;7,310892759402745;7,552185228692692;84;17,24137931034483;14,705882352941176;1050;83,79310344827586;71,47058823529412;100;82,13793103448276;82,13793103448276;10;5
0;gini;0,3;0,85;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,19777872387602022;23,988571428571426;7,310892759402745;7,552185228692692;84;17,24137931034483;14,705882352941176;1050;83,79310344827586;71,47058823529412;100;82,13793103448276;82,13793103448276;10;5
0;gini;0,2;0,7;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,13619263383562383;23,988571428571426;7,310892759402745;7,915702535391946;84;17,24137931034483;10,869565217391305;1050;83,79310344827586;53,32608695652174;100;82,13793103448276;82,13793103448276;10;17
0;gini;0,2;0,8;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,1391952273961075;23,988571428571426;7,310892759402745;7,915702535391946;84;17,24137931034483;10,869565217391305;1050;83,79310344827586;53,32608695652174;100;82,13793103448276;82,13793103448276;10;17
0;gini;0,2;0,75;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,13697904764642005;23,988571428571426;7,310892759402745;7,915702535391946;84;17,24137931034483;10,869565217391305;1050;83,79310344827586;53,32608695652174;100;82,13793103448276;82,13793103448276;10;17
0;gini;0,2;0,85;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,13668362365328707;23,988571428571426;7,310892759402745;7,915702535391946;84;17,24137931034483;10,869565217391305;1050;83,79310344827586;53,32608695652174;100;82,13793103448276;82,13793103448276;10;17
0;gini;0,4;0,7;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,2112788348593132;23,988571428571426;7,310892759402745;7,642150437642977;84;17,24137931034483;15,151515151515152;1050;83,79310344827586;73,63636363636364;100;82,13793103448276;82,13793103448276;10;4
0;gini;0,4;0,8;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,2105219815505889;23,988571428571426;7,310892759402745;7,642150437642977;84;17,24137931034483;15,151515151515152;1050;83,79310344827586;73,63636363636364;100;82,13793103448276;82,13793103448276;10;4
0;gini;0,4;0,75;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,2105219815505889;23,988571428571426;7,310892759402745;7,642150437642977;84;17,24137931034483;15,151515151515152;1050;83,79310344827586;73,63636363636364;100;82,13793103448276;82,13793103448276;10;4
0;gini;0,4;0,85;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,20870956135526061;23,988571428571426;7,310892759402745;7,642150437642977;84;17,24137931034483;15,151515151515152;1050;83,79310344827586;73,63636363636364;100;82,13793103448276;82,13793103448276;10;4
0;gini;0,35;0,7;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,2112788348593132;23,988571428571426;7,310892759402745;7,642150437642977;84;17,24137931034483;15,151515151515152;1050;83,79310344827586;73,63636363636364;100;82,13793103448276;82,13793103448276;10;4
0;gini;0,35;0,8;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,2105219815505889;23,988571428571426;7,310892759402745;7,642150437642977;84;17,24137931034483;15,151515151515152;1050;83,79310344827586;73,63636363636364;100;82,13793103448276;82,13793103448276;10;4
0;gini;0,35;0,75;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,2105219815505889;23,988571428571426;7,310892759402745;7,642150437642977;84;17,24137931034483;15,151515151515152;1050;83,79310344827586;73,63636363636364;100;82,13793103448276;82,13793103448276;10;4
0;gini;0,35;0,85;0,42029478458049874;0,4169206349206349;0,23362047988163792;0,20870956135526061;23,988571428571426;7,310892759402745;7,642150437642977;84;17,24137931034483;15,151515151515152;1050;83,79310344827586;73,63636363636364;100;82,13793103448276;82,13793103448276;10;4
