R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
5,0.52,Tailored Approach,2.0256410256410255,0.3,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
6,0.5566666666666666,Tailored Approach,2.287425149700599,0.3,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
7,0.6066666666666667,Tailored Approach,2.6758241758241756,0.3,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
8,0.6366666666666667,Tailored Approach,2.926701570680628,0.3,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
9,0.6533333333333333,Tailored Approach,3.0816326530612246,0.3,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
10,0.6733333333333333,Tailored Approach,3.287128712871287,0.3,0.8,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
1,0.18333333333333332,CPI,1.0,0.3,0.75,,,,,,,
2,0.27,CPI,1.3209876543209877,0.3,0.75,,,,,,,
3,0.32666666666666666,CPI,1.6122448979591837,0.3,0.75,,,,,,,
4,0.38,CPI,1.9473684210526316,0.3,0.75,,,,,,,
5,0.41,CPI,2.1707317073170733,0.3,0.75,,,,,,,
6,0.44,CPI,2.4318181818181817,0.3,0.75,,,,,,,
7,0.48333333333333334,CPI,2.8413793103448275,0.3,0.75,,,,,,,
8,0.51,CPI,3.111111111111111,0.3,0.75,,,,,,,
9,0.5566666666666666,CPI,3.604790419161677,0.3,0.75,,,,,,,
10,0.59,CPI,3.9661016949152543,0.3,0.75,,,,,,,
1,0.22,Tailored Approach,1.0,0.3,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
2,0.37,Tailored Approach,1.4054054054054055,0.3,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
3,0.46,Tailored Approach,1.7173913043478262,0.3,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
4,0.49666666666666665,Tailored Approach,1.8859060402684564,0.3,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
5,0.52,Tailored Approach,2.0256410256410255,0.3,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
6,0.5566666666666666,Tailored Approach,2.287425149700599,0.3,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
