#Samples,missing,#Features,#Classes,Gini,#SPH,#CPI,max info loss,gini,p value,Method,Run
92.97674418604649,10.852508166939138,85.53488372093024,18.093023255813957,0.13680395898075318,19,14,0.1,0.2,0.7,SPH+CPI,1
92.97674418604652,10.816915222802905,85.53488372093024,18.09302325581396,0.13571360185767,19,14,0.1,0.2,0.75,SPH+CPI,1
92.97674418604652,10.816915222802905,85.53488372093024,18.09302325581396,0.13571360185767,19,14,0.1,0.2,0.8,SPH+CPI,1
92.97674418604649,10.543525270885764,85.30232558139537,18.09302325581396,0.1337382864938579,19,14,0.1,0.2,0.85,SPH+CPI,1
92.97674418604652,10.544043906604237,85.30232558139537,18.093023255813957,0.1333725484932139,19,14,0.1,0.2,0.9,SPH+CPI,1
117.58823529411764,9.984245376278524,84.7058823529412,22.88235294117647,0.17337229687325478,19,5,0.1,0.25,0.7,SPH+CPI,1
117.58823529411765,9.833343215604014,84.55882352941178,22.882352941176464,0.1729680882894305,19,5,0.1,0.25,0.75,SPH+CPI,1
117.58823529411765,9.833343215604014,84.55882352941178,22.882352941176464,0.1729680882894305,19,5,0.1,0.25,0.8,SPH+CPI,1
117.58823529411765,9.826038787754356,84.55882352941178,22.882352941176475,0.1718493138560839,19,5,0.1,0.25,0.85,SPH+CPI,1
117.58823529411762,9.826694709398309,84.55882352941178,22.882352941176475,0.17138676285526938,19,5,0.1,0.25,0.9,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.3,0.7,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.3,0.75,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.3,0.8,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.3,0.85,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.3,0.9,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.35,0.7,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.35,0.75,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.35,0.8,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.35,0.85,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.35,0.9,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.4,0.7,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.4,0.75,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.4,0.8,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.4,0.85,SPH+CPI,1
137.86206896551727,9.53231689140086,84.31034482758622,26.827586206896544,0.19724198142291435,19,0,0.1,0.4,0.9,SPH+CPI,1
88.20000000000002,9.704224463380283,84.37499999999997,17.050000000000004,0.13967340301142844,15,11,0.15,0.2,0.7,SPH+CPI,1
88.20000000000002,9.611959395457706,84.3,17.050000000000004,0.13899840307075229,15,11,0.15,0.2,0.75,SPH+CPI,1
88.20000000000002,9.611959395457706,84.3,17.050000000000004,0.13899840307075229,15,11,0.15,0.2,0.8,SPH+CPI,1
88.20000000000002,9.501066567873968,84.19999999999999,17.05,0.13610611584134624,15,11,0.15,0.2,0.85,SPH+CPI,1
88.2,9.501624101271327,84.19999999999999,17.05,0.13571294749065393,15,11,0.15,0.2,0.9,SPH+CPI,1
103.76470588235291,9.21231908266171,83.91176470588239,20.058823529411764,0.16396441953435814,15,5,0.15,0.25,0.7,SPH+CPI,1
103.76470588235293,9.061416921987197,83.76470588235297,20.058823529411764,0.16356021095053386,15,5,0.15,0.25,0.75,SPH+CPI,1
103.76470588235293,9.061416921987197,83.76470588235297,20.058823529411764,0.16356021095053386,15,5,0.15,0.25,0.8,SPH+CPI,1
103.76470588235293,9.054112494137541,83.76470588235297,20.058823529411764,0.16244143651718726,15,5,0.15,0.25,0.85,SPH+CPI,1
103.7647058823529,9.054768415781494,83.76470588235297,20.058823529411764,0.16197888551637274,15,5,0.15,0.25,0.9,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.3,0.7,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.3,0.75,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.3,0.8,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.3,0.85,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.3,0.9,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.35,0.7,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.35,0.75,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.35,0.8,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.35,0.85,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.35,0.9,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.4,0.7,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.4,0.75,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.4,0.8,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.4,0.85,SPH+CPI,1
121.65517241379314,8.627299857505283,83.3793103448276,23.51724137931034,0.18621205626696657,15,0,0.15,0.4,0.9,SPH+CPI,1
77.95000000000002,8.596215507841904,83.27499999999996,14.649999999999999,0.13366237059428182,11,11,0.2,0.2,0.7,SPH+CPI,1
77.95,8.467948671268571,83.14999999999999,14.649999999999999,0.1333187932980312,11,11,0.2,0.2,0.75,SPH+CPI,1
