Method,R_e,A@e,RA@e,Run,max info loss,gini,p value
SPH+CPI,6,0.5,2.5,1,0.1,0.3,0.85
SPH+CPI,7,0.5333333333333333,2.78125,1,0.1,0.3,0.85
SPH+CPI,8,0.55,2.9393939393939394,1,0.1,0.3,0.85
SPH+CPI,9,0.5933333333333334,3.3820224719101124,1,0.1,0.3,0.85
SPH+CPI,10,0.6266666666666667,3.734042553191489,1,0.1,0.3,0.85
SPH+CPI,1,0.19333333333333333,1.0,1,0.1,0.3,0.9
SPH+CPI,2,0.3,1.3555555555555556,1,0.1,0.3,0.9
SPH+CPI,3,0.37333333333333335,1.6785714285714286,1,0.1,0.3,0.9
SPH+CPI,4,0.4266666666666667,1.96875,1,0.1,0.3,0.9
SPH+CPI,5,0.48,2.3055555555555554,1,0.1,0.3,0.9
SPH+CPI,6,0.49666666666666665,2.4295302013422817,1,0.1,0.3,0.9
SPH+CPI,7,0.5466666666666666,2.847560975609756,1,0.1,0.3,0.9
SPH+CPI,8,0.5633333333333334,3.0,1,0.1,0.3,0.9
SPH+CPI,9,0.6,3.3666666666666667,1,0.1,0.3,0.9
SPH+CPI,10,0.6266666666666667,3.648936170212766,1,0.1,0.3,0.9
SPH+CPI,1,0.19666666666666666,1.0,1,0.1,0.35,0.7
SPH+CPI,2,0.30333333333333334,1.3516483516483517,1,0.1,0.35,0.7
SPH+CPI,3,0.38333333333333336,1.6956521739130435,1,0.1,0.35,0.7
SPH+CPI,4,0.44,1.9924242424242424,1,0.1,0.35,0.7
SPH+CPI,5,0.4866666666666667,2.280821917808219,1,0.1,0.35,0.7
SPH+CPI,6,0.51,2.450980392156863,1,0.1,0.35,0.7
SPH+CPI,7,0.5533333333333333,2.8072289156626504,1,0.1,0.35,0.7
SPH+CPI,8,0.57,2.9590643274853803,1,0.1,0.35,0.7
SPH+CPI,9,0.6166666666666667,3.4162162162162164,1,0.1,0.35,0.7
SPH+CPI,10,0.6433333333333333,3.6891191709844557,1,0.1,0.35,0.7
SPH+CPI,1,0.19,1.0,1,0.1,0.35,0.75
SPH+CPI,2,0.29333333333333333,1.3522727272727273,1,0.1,0.35,0.75
SPH+CPI,3,0.38333333333333336,1.7391304347826086,1,0.1,0.35,0.75
SPH+CPI,4,0.44333333333333336,2.045112781954887,1,0.1,0.35,0.75
SPH+CPI,5,0.48333333333333334,2.2896551724137932,1,0.1,0.35,0.75
SPH+CPI,6,0.5133333333333333,2.5064935064935066,1,0.1,0.35,0.75
SPH+CPI,7,0.5533333333333333,2.8313253012048194,1,0.1,0.35,0.75
SPH+CPI,8,0.5766666666666667,3.040462427745665,1,0.1,0.35,0.75
SPH+CPI,9,0.6133333333333333,3.3967391304347827,1,0.1,0.35,0.75
SPH+CPI,10,0.6433333333333333,3.704663212435233,1,0.1,0.35,0.75
SPH+CPI,1,0.18666666666666668,1.0,1,0.1,0.35,0.8
SPH+CPI,2,0.2866666666666667,1.3488372093023255,1,0.1,0.35,0.8
SPH+CPI,3,0.37333333333333335,1.7321428571428572,1,0.1,0.35,0.8
SPH+CPI,4,0.43333333333333335,2.046153846153846,1,0.1,0.35,0.8
SPH+CPI,5,0.47,2.276595744680851,1,0.1,0.35,0.8
SPH+CPI,6,0.5,2.5,1,0.1,0.35,0.8
SPH+CPI,7,0.5333333333333333,2.78125,1,0.1,0.35,0.8
SPH+CPI,8,0.55,2.9393939393939394,1,0.1,0.35,0.8
SPH+CPI,9,0.5933333333333334,3.3820224719101124,1,0.1,0.35,0.8
SPH+CPI,10,0.6266666666666667,3.734042553191489,1,0.1,0.35,0.8
SPH+CPI,1,0.18666666666666668,1.0,1,0.1,0.35,0.85
SPH+CPI,2,0.2866666666666667,1.3488372093023255,1,0.1,0.35,0.85
SPH+CPI,3,0.37333333333333335,1.7321428571428572,1,0.1,0.35,0.85
SPH+CPI,4,0.43333333333333335,2.046153846153846,1,0.1,0.35,0.85
SPH+CPI,5,0.47,2.276595744680851,1,0.1,0.35,0.85
SPH+CPI,6,0.5,2.5,1,0.1,0.35,0.85
SPH+CPI,7,0.5333333333333333,2.78125,1,0.1,0.35,0.85
SPH+CPI,8,0.55,2.9393939393939394,1,0.1,0.35,0.85
SPH+CPI,9,0.5933333333333334,3.3820224719101124,1,0.1,0.35,0.85
SPH+CPI,10,0.6266666666666667,3.734042553191489,1,0.1,0.35,0.85
SPH+CPI,1,0.19333333333333333,1.0,1,0.1,0.35,0.9
SPH+CPI,2,0.3,1.3555555555555556,1,0.1,0.35,0.9
SPH+CPI,3,0.37333333333333335,1.6785714285714286,1,0.1,0.35,0.9
SPH+CPI,4,0.4266666666666667,1.96875,1,0.1,0.35,0.9
SPH+CPI,5,0.48,2.3055555555555554,1,0.1,0.35,0.9
SPH+CPI,6,0.49666666666666665,2.4295302013422817,1,0.1,0.35,0.9
SPH+CPI,7,0.5466666666666666,2.847560975609756,1,0.1,0.35,0.9
SPH+CPI,8,0.5633333333333334,3.0,1,0.1,0.35,0.9
SPH+CPI,9,0.6,3.3666666666666667,1,0.1,0.35,0.9
SPH+CPI,10,0.6266666666666667,3.648936170212766,1,0.1,0.35,0.9
SPH+CPI,1,0.19666666666666666,1.0,1,0.1,0.4,0.7
SPH+CPI,2,0.30333333333333334,1.3516483516483517,1,0.1,0.4,0.7
SPH+CPI,3,0.38333333333333336,1.6956521739130435,1,0.1,0.4,0.7
SPH+CPI,4,0.44,1.9924242424242424,1,0.1,0.4,0.7
SPH+CPI,5,0.4866666666666667,2.280821917808219,1,0.1,0.4,0.7
