Method,R_e,A@e,RA@e,Run,n,f,max info loss,n_clusters,algorithm,n_components,gini,p value
SPH,6,0.77,2.2510822510822512,1,1050,100,0.4,,,,,
SPH,7,0.7866666666666666,2.3516949152542375,1,1050,100,0.4,,,,,
SPH,8,0.8033333333333333,2.4688796680497926,1,1050,100,0.4,,,,,
SPH,9,0.8166666666666667,2.5755102040816324,1,1050,100,0.4,,,,,
RF+B,1,0.2633333333333333,1.0,1,1050,100,,,,,,
RF+B,2,0.45,1.4148148148148147,1,1050,100,,,,,,
RF+B,3,0.5466666666666666,1.6951219512195121,1,1050,100,,,,,,
RF+B,4,0.59,1.8644067796610169,1,1050,100,,,,,,
RF+B,5,0.6466666666666666,2.1391752577319587,1,1050,100,,,,,,
RF+B,6,0.68,2.3284313725490198,1,1050,100,,,,,,
RF+B,7,0.7133333333333334,2.546728971962617,1,1050,100,,,,,,
RF+B,8,0.7433333333333333,2.766816143497758,1,1050,100,,,,,,
RF+B,9,0.7666666666666667,2.9565217391304346,1,1050,100,,,,,,
RF+B,10,0.7766666666666666,3.0472103004291844,1,1050,100,,,,,,
KMeans,1,0.31666666666666665,1.0,1,1050,100,,10.0,KMeans,,,
KMeans,2,0.4766666666666667,1.3356643356643356,1,1050,100,,10.0,KMeans,,,
KMeans,3,0.6,1.6777777777777778,1,1050,100,,10.0,KMeans,,,
KMeans,4,0.6566666666666666,1.8781725888324874,1,1050,100,,10.0,KMeans,,,
KMeans,5,0.7133333333333334,2.1261682242990654,1,1050,100,,10.0,KMeans,,,
KMeans,6,0.7533333333333333,2.331858407079646,1,1050,100,,10.0,KMeans,,,
KMeans,7,0.7666666666666667,2.4130434782608696,1,1050,100,,10.0,KMeans,,,
KMeans,8,0.7833333333333333,2.5319148936170213,1,1050,100,,10.0,KMeans,,,
KMeans,9,0.8033333333333333,2.6929460580912865,1,1050,100,,10.0,KMeans,,,
KMeans,10,0.82,2.841463414634146,1,1050,100,,10.0,KMeans,,,
KMeans,1,0.3433333333333333,1.0,1,1050,100,,15.0,KMeans,,,
KMeans,2,0.5233333333333333,1.3439490445859872,1,1050,100,,15.0,KMeans,,,
KMeans,3,0.6266666666666667,1.6170212765957446,1,1050,100,,15.0,KMeans,,,
KMeans,4,0.7033333333333334,1.8767772511848342,1,1050,100,,15.0,KMeans,,,
KMeans,5,0.7566666666666667,2.0969162995594712,1,1050,100,,15.0,KMeans,,,
KMeans,6,0.8033333333333333,2.323651452282158,1,1050,100,,15.0,KMeans,,,
KMeans,7,0.8166666666666667,2.4,1,1050,100,,15.0,KMeans,,,
KMeans,8,0.84,2.5555555555555554,1,1050,100,,15.0,KMeans,,,
KMeans,9,0.8633333333333333,2.72972972972973,1,1050,100,,15.0,KMeans,,,
KMeans,10,0.88,2.867424242424242,1,1050,100,,15.0,KMeans,,,
KMeans,1,0.35333333333333333,1.0,1,1050,100,,20.0,KMeans,,,
KMeans,2,0.5166666666666667,1.3161290322580645,1,1050,100,,20.0,KMeans,,,
KMeans,3,0.6066666666666667,1.565934065934066,1,1050,100,,20.0,KMeans,,,
KMeans,4,0.72,1.9490740740740742,1,1050,100,,20.0,KMeans,,,
KMeans,5,0.7766666666666666,2.171673819742489,1,1050,100,,20.0,KMeans,,,
KMeans,6,0.8,2.283333333333333,1,1050,100,,20.0,KMeans,,,
KMeans,7,0.8166666666666667,2.379591836734694,1,1050,100,,20.0,KMeans,,,
KMeans,8,0.83,2.4698795180722892,1,1050,100,,20.0,KMeans,,,
KMeans,9,0.8466666666666667,2.5984251968503935,1,1050,100,,20.0,KMeans,,,
KMeans,10,0.87,2.796934865900383,1,1050,100,,20.0,KMeans,,,
KMeans,1,0.35333333333333333,1.0,1,1050,100,,25.0,KMeans,,,
KMeans,2,0.5266666666666666,1.3291139240506329,1,1050,100,,25.0,KMeans,,,
KMeans,3,0.6166666666666667,1.572972972972973,1,1050,100,,25.0,KMeans,,,
KMeans,4,0.7,1.861904761904762,1,1050,100,,25.0,KMeans,,,
KMeans,5,0.7933333333333333,2.23109243697479,1,1050,100,,25.0,KMeans,,,
KMeans,6,0.8333333333333334,2.412,1,1050,100,,25.0,KMeans,,,
KMeans,7,0.8533333333333334,2.51953125,1,1050,100,,25.0,KMeans,,,
KMeans,8,0.8733333333333333,2.645038167938931,1,1050,100,,25.0,KMeans,,,
KMeans,9,0.8833333333333333,2.7169811320754715,1,1050,100,,25.0,KMeans,,,
KMeans,10,0.92,3.0072463768115942,1,1050,100,,25.0,KMeans,,,
KMeans,1,0.36,1.0,1,1050,100,,26.0,KMeans,,,
KMeans,2,0.5233333333333333,1.3121019108280254,1,1050,100,,26.0,KMeans,,,
KMeans,3,0.63,1.597883597883598,1,1050,100,,26.0,KMeans,,,
KMeans,4,0.7166666666666667,1.8883720930232557,1,1050,100,,26.0,KMeans,,,
KMeans,5,0.79,2.1772151898734178,1,1050,100,,26.0,KMeans,,,
KMeans,6,0.8233333333333334,2.331983805668016,1,1050,100,,26.0,KMeans,,,
KMeans,7,0.8366666666666667,2.406374501992032,1,1050,100,,26.0,KMeans,,,
KMeans,8,0.8566666666666667,2.536964980544747,1,1050,100,,26.0,KMeans,,,
KMeans,9,0.87,2.636015325670498,1,1050,100,,26.0,KMeans,,,
KMeans,10,0.9,2.8814814814814813,1,1050,100,,26.0,KMeans,,,
KMeans,1,0.35,1.0,1,1050,100,,30.0,KMeans,,,
KMeans,2,0.5166666666666667,1.3225806451612903,1,1050,100,,30.0,KMeans,,,
KMeans,3,0.6033333333333334,1.5635359116022098,1,1050,100,,30.0,KMeans,,,
KMeans,4,0.67,1.8059701492537314,1,1050,100,,30.0,KMeans,,,
KMeans,5,0.7666666666666667,2.208695652173913,1,1050,100,,30.0,KMeans,,,
