;CM Index;gini_parameter;p_parameter;gini;Training gini;gini SPH;gini CPI;Missing;Missing SPH;Missing CPI;#Classes;#Classes SPH;#Classes CPI;#Samples;#Samples SPH;#Samples CPI;#Features;#Features SPH;#Features CPI;SPH executed;CPI executed
0;gini;0,3;0,7;0,5713378684807255;0,5455107475746623;0,3695192246625952;0,1422294477461999;23,999999999999996;6,779080605515892;7,074231569146504;84;12,0;6,96;1050;76,06896551724138;45,98;100;81,62068965517241;81,62068965517241;8;21
0;gini;0,3;0,8;0,5713378684807255;0,5455107475746623;0,3695192246625952;0,14082772609683786;23,999999999999996;6,779080605515892;7,074231569146504;84;12,0;6,96;1050;76,06896551724138;45,98;100;81,62068965517241;81,62068965517241;8;21
0;gini;0,3;0,9;0,5713378684807255;0,5455107475746623;0,3695192246625952;0,12374717764448867;23,999999999999996;6,779080605515892;7,074231569146504;84;12,0;6,96;1050;76,06896551724138;47,06;100;81,62068965517241;81,62068965517241;8;21
0;gini;0,35;0,7;0,5713378684807255;0,5455107475746623;0,3695192246625952;0,16717350832086664;23,999999999999996;6,779080605515892;7,197445673829678;84;12,0;7,404255319148936;1050;76,06896551724138;48,57446808510638;100;81,62068965517241;81,62068965517241;8;18
0;gini;0,35;0,8;0,5713378684807255;0,5455107475746623;0,3695192246625952;0,1656823150768645;23,999999999999996;6,779080605515892;7,197445673829678;84;12,0;7,404255319148936;1050;76,06896551724138;48,57446808510638;100;81,62068965517241;81,62068965517241;8;18
0;gini;0,35;0,9;0,5713378684807255;0,5455107475746623;0,3695192246625952;0,14751151885096112;23,999999999999996;6,779080605515892;7,197445673829678;84;12,0;7,404255319148936;1050;76,06896551724138;49,723404255319146;100;81,62068965517241;81,62068965517241;8;18
0;gini;0,4;0,7;0,5713378684807255;0,5455107475746623;0,3695192246625952;0,22756437362698873;23,999999999999996;6,779080605515892;7,118433601076847;84;12,0;8,7;1050;76,06896551724138;56,45;100;81,62068965517241;81,62068965517241;8;11
0;gini;0,4;0,8;0,5713378684807255;0,5455107475746623;0,3695192246625952;0,22989803327364614;23,999999999999996;6,779080605515892;7,118433601076847;84;12,0;8,7;1050;76,06896551724138;56,45;100;81,62068965517241;81,62068965517241;8;11
0;gini;0,4;0,9;0,5713378684807255;0,5455107475746623;0,3695192246625952;0,21976524129839428;23,999999999999996;6,779080605515892;7,118433601076847;84;12,0;8,7;1050;76,06896551724138;56,775;100;81,62068965517241;81,62068965517241;8;11
