#Samples,missing,#Features,#Classes,Gini,#SPH,#CPI,CHI,SIL,DBI,max info loss,Method,Run,n,f,mf,n_clusters,algorithm,n_components,gini,p value
25.833333333333332,0.07691397025685405,103.33333333333333,6.854444444444444,0.3728731334315901,0,0,0.0,0.0,0.0,,Birch,1,1050,100,0.2,30.0,Birch,,,
22.040816326530614,0.07308243256356858,102.85714285714286,6.230204081632653,0.35056316110361213,0,0,0.0,0.0,0.0,,Birch,1,1050,100,0.2,35.0,Birch,,,
19.21875,0.06945771255778972,102.5,5.79125,0.33421504519168393,0,0,0.0,0.0,0.0,,Birch,1,1050,100,0.2,40.0,Birch,,,
17.037037037037038,0.06607317510449372,102.22222222222223,5.451851851851852,0.31668988195161035,0,0,0.0,0.0,0.0,,Birch,1,1050,100,0.2,45.0,Birch,,,
15.3,0.061711703110027,102.0,4.9776,0.282681927586162,0,0,0.0,0.0,0.0,,Birch,1,1050,100,0.2,50.0,Birch,,,
33.829787234042556,0.07854092936333523,100.0,5.042553191489362,0.15734889753339762,10,23,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.2,0.7
33.829787234042556,0.07845545972276814,100.0,5.042553191489362,0.15710533170289126,10,23,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.2,0.75
33.829787234042556,0.07802127932794622,100.0,5.042553191489362,0.15490479081008537,10,23,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.2,0.8
33.829787234042556,0.07550778769002627,100.0,5.042553191489362,0.1473562409650665,10,23,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.2,0.85
33.829787234042556,0.06998200160528356,100.0,5.042553191489362,0.13247874326728437,10,23,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.2,0.9
35.333333333333336,0.07964737807577975,100.0,5.266666666666667,0.17434218186821532,10,21,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.25,0.7
35.333333333333336,0.0795581097845208,100.0,5.266666666666667,0.1740877908896864,10,21,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.25,0.75
35.333333333333336,0.07910463248326235,100.0,5.266666666666667,0.1717894481794225,10,21,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.25,0.8
35.333333333333336,0.07647943010587928,100.0,5.266666666666667,0.16390540723018057,10,21,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.25,0.85
35.333333333333336,0.07070805352848135,100.0,5.266666666666667,0.14836668741249698,10,21,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.25,0.9
37.857142857142854,0.08221711185963095,100.0,5.642857142857143,0.20491113688778761,10,18,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.3,0.7
37.857142857142854,0.08212146726185349,100.0,5.642857142857143,0.20463857512507808,10,18,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.3,0.75
37.857142857142854,0.08163559872479086,100.0,5.642857142857143,0.20217606507836672,10,18,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.3,0.8
37.857142857142854,0.07882288189188043,100.0,5.642857142857143,0.19372887834703606,10,18,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.3,0.85
37.857142857142854,0.07263926413038264,100.0,5.642857142857143,0.17708024997094654,10,18,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.3,0.9
39.75,0.08081838080830252,100.0,5.925,0.21266852298819225,10,16,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.35,0.7
39.75,0.08071795398063619,100.0,5.925,0.21238233313734725,10,16,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.35,0.75
39.75,0.08020779201672043,100.0,5.925,0.20979669758830038,10,16,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.35,0.8
39.75,0.08020738292060925,100.0,5.925,0.20647549206874372,10,16,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.35,0.85
39.75,0.07371458427103658,100.0,5.925,0.1889944322738497,10,16,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.35,0.9
41.8421052631579,0.0807042660199652,100.0,6.2368421052631575,0.22775103011666306,10,14,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.4,0.7
41.8421052631579,0.08087246256974069,100.0,6.2368421052631575,0.2276945313759538,10,14,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.4,0.75
41.8421052631579,0.08033544997614515,100.0,6.2368421052631575,0.22497280974537814,10,14,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.4,0.8
41.8421052631579,0.0803350193486597,100.0,6.2368421052631575,0.22147680393531852,10,14,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.4,0.85
41.8421052631579,0.07495417691624569,100.0,6.2368421052631575,0.20744859056132678,10,14,0.0,0.0,0.0,0.1,SPH+CPI,1,1050,100,0.2,,,,0.4,0.9
33.829787234042556,0.07854092936333523,100.0,5.042553191489362,0.15734889753339762,10,23,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.2,0.7
33.829787234042556,0.07845545972276814,100.0,5.042553191489362,0.15710533170289126,10,23,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.2,0.75
33.829787234042556,0.07802127932794622,100.0,5.042553191489362,0.15490479081008537,10,23,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.2,0.8
33.829787234042556,0.07550778769002627,100.0,5.042553191489362,0.1473562409650665,10,23,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.2,0.85
33.829787234042556,0.06998200160528356,100.0,5.042553191489362,0.13247874326728437,10,23,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.2,0.9
35.333333333333336,0.07964737807577975,100.0,5.266666666666667,0.17434218186821532,10,21,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.25,0.7
35.333333333333336,0.0795581097845208,100.0,5.266666666666667,0.1740877908896864,10,21,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.25,0.75
35.333333333333336,0.07910463248326235,100.0,5.266666666666667,0.1717894481794225,10,21,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.25,0.8
35.333333333333336,0.07647943010587928,100.0,5.266666666666667,0.16390540723018057,10,21,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.25,0.85
35.333333333333336,0.07070805352848135,100.0,5.266666666666667,0.14836668741249698,10,21,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.25,0.9
37.857142857142854,0.08221711185963095,100.0,5.642857142857143,0.20491113688778761,10,18,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.3,0.7
37.857142857142854,0.08212146726185349,100.0,5.642857142857143,0.20463857512507808,10,18,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.3,0.75
37.857142857142854,0.08163559872479086,100.0,5.642857142857143,0.20217606507836672,10,18,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.3,0.8
37.857142857142854,0.07882288189188043,100.0,5.642857142857143,0.19372887834703606,10,18,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.3,0.85
37.857142857142854,0.07263926413038264,100.0,5.642857142857143,0.17708024997094654,10,18,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.3,0.9
39.75,0.08081838080830252,100.0,5.925,0.21266852298819225,10,16,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.35,0.7
39.75,0.08071795398063619,100.0,5.925,0.21238233313734725,10,16,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.35,0.75
39.75,0.08020779201672043,100.0,5.925,0.20979669758830038,10,16,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.35,0.8
39.75,0.08020738292060925,100.0,5.925,0.20647549206874372,10,16,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.35,0.85
39.75,0.07371458427103658,100.0,5.925,0.1889944322738497,10,16,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.35,0.9
41.8421052631579,0.0807042660199652,100.0,6.2368421052631575,0.22775103011666306,10,14,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.4,0.7
41.8421052631579,0.08087246256974069,100.0,6.2368421052631575,0.2276945313759538,10,14,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.4,0.75
41.8421052631579,0.08033544997614515,100.0,6.2368421052631575,0.22497280974537814,10,14,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.4,0.8
41.8421052631579,0.0803350193486597,100.0,6.2368421052631575,0.22147680393531852,10,14,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.4,0.85
41.8421052631579,0.07495417691624569,100.0,6.2368421052631575,0.20744859056132678,10,14,0.0,0.0,0.0,0.15,SPH+CPI,1,1050,100,0.2,,,,0.4,0.9
21.70212765957447,0.0647996178537094,100.0,3.382978723404255,0.13024067762278202,7,23,0.0,0.0,0.0,0.2,SPH+CPI,1,1050,100,0.2,,,,0.2,0.7
21.70212765957447,0.06471414821314231,100.0,3.382978723404255,0.12999711179227563,7,23,0.0,0.0,0.0,0.2,SPH+CPI,1,1050,100,0.2,,,,0.2,0.75
21.70212765957447,0.06480612443180536,100.0,3.382978723404255,0.12820971142218687,7,23,0.0,0.0,0.0,0.2,SPH+CPI,1,1050,100,0.2,,,,0.2,0.8
21.70212765957447,0.06228812397489082,100.0,3.382978723404255,0.12162423468737814,7,23,0.0,0.0,0.0,0.2,SPH+CPI,1,1050,100,0.2,,,,0.2,0.85
