Method,R_e,A@e,RA@e,Run,max info loss,gini,p value
SPH+CPI,1,0.29333333333333333,1.0,1,0.1,0.25,0.8
SPH+CPI,2,0.45,1.348148148148148,1,0.1,0.25,0.8
SPH+CPI,3,0.5533333333333333,1.6566265060240963,1,0.1,0.25,0.8
SPH+CPI,4,0.6066666666666667,1.8626373626373627,1,0.1,0.25,0.8
SPH+CPI,5,0.6366666666666667,2.0104712041884816,1,0.1,0.25,0.8
SPH+CPI,6,0.67,2.208955223880597,1,0.1,0.25,0.8
SPH+CPI,7,0.7033333333333334,2.4360189573459716,1,0.1,0.25,0.8
SPH+CPI,8,0.73,2.6392694063926943,1,0.1,0.25,0.8
SPH+CPI,9,0.76,2.8903508771929824,1,0.1,0.25,0.8
SPH+CPI,10,0.78,3.072649572649573,1,0.1,0.25,0.8
SPH+CPI,1,0.27,1.0,1,0.1,0.25,0.85
SPH+CPI,2,0.4166666666666667,1.352,1,0.1,0.25,0.85
SPH+CPI,3,0.54,1.728395061728395,1,0.1,0.25,0.85
SPH+CPI,4,0.5866666666666667,1.9090909090909092,1,0.1,0.25,0.85
SPH+CPI,5,0.64,2.1666666666666665,1,0.1,0.25,0.85
SPH+CPI,6,0.6733333333333333,2.3564356435643563,1,0.1,0.25,0.85
SPH+CPI,7,0.7,2.533333333333333,1,0.1,0.25,0.85
SPH+CPI,8,0.7133333333333334,2.635514018691589,1,0.1,0.25,0.85
SPH+CPI,9,0.7366666666666667,2.83710407239819,1,0.1,0.25,0.85
SPH+CPI,10,0.7533333333333333,2.995575221238938,1,0.1,0.25,0.85
SPH+CPI,1,0.24333333333333335,1.0,1,0.1,0.25,0.9
SPH+CPI,2,0.37666666666666665,1.3539823008849559,1,0.1,0.25,0.9
SPH+CPI,3,0.48,1.7083333333333333,1,0.1,0.25,0.9
SPH+CPI,4,0.53,1.9245283018867925,1,0.1,0.25,0.9
SPH+CPI,5,0.5866666666666667,2.221590909090909,1,0.1,0.25,0.9
SPH+CPI,6,0.62,2.424731182795699,1,0.1,0.25,0.9
SPH+CPI,7,0.6766666666666666,2.8078817733990147,1,0.1,0.25,0.9
SPH+CPI,8,0.7033333333333334,3.004739336492891,1,0.1,0.25,0.9
SPH+CPI,9,0.7433333333333333,3.327354260089686,1,0.1,0.25,0.9
SPH+CPI,10,0.7633333333333333,3.502183406113537,1,0.1,0.25,0.9
SPH+CPI,1,0.31,1.0,1,0.1,0.3,0.7
SPH+CPI,2,0.43,1.2790697674418605,1,0.1,0.3,0.7
SPH+CPI,3,0.5633333333333334,1.6863905325443787,1,0.1,0.3,0.7
SPH+CPI,4,0.6366666666666667,1.9528795811518325,1,0.1,0.3,0.7
SPH+CPI,5,0.69,2.1884057971014492,1,0.1,0.3,0.7
SPH+CPI,6,0.7133333333333334,2.3130841121495327,1,0.1,0.3,0.7
SPH+CPI,7,0.7333333333333333,2.440909090909091,1,0.1,0.3,0.7
SPH+CPI,8,0.7433333333333333,2.515695067264574,1,0.1,0.3,0.7
SPH+CPI,9,0.77,2.74025974025974,1,0.1,0.3,0.7
SPH+CPI,10,0.7866666666666666,2.8940677966101696,1,0.1,0.3,0.7
SPH+CPI,1,0.31666666666666665,1.0,1,0.1,0.3,0.75
SPH+CPI,2,0.44333333333333336,1.2857142857142858,1,0.1,0.3,0.75
SPH+CPI,3,0.5533333333333333,1.6265060240963856,1,0.1,0.3,0.75
SPH+CPI,4,0.61,1.8469945355191257,1,0.1,0.3,0.75
SPH+CPI,5,0.6533333333333333,2.056122448979592,1,0.1,0.3,0.75
SPH+CPI,6,0.6966666666666667,2.3014354066985647,1,0.1,0.3,0.75
SPH+CPI,7,0.7266666666666667,2.4954128440366974,1,0.1,0.3,0.75
SPH+CPI,8,0.7433333333333333,2.618834080717489,1,0.1,0.3,0.75
SPH+CPI,9,0.7666666666666667,2.8130434782608695,1,0.1,0.3,0.75
SPH+CPI,10,0.79,3.0253164556962027,1,0.1,0.3,0.75
SPH+CPI,1,0.3,1.0,1,0.1,0.3,0.8
SPH+CPI,2,0.4533333333333333,1.338235294117647,1,0.1,0.3,0.8
SPH+CPI,3,0.5533333333333333,1.6385542168674698,1,0.1,0.3,0.8
SPH+CPI,4,0.6066666666666667,1.8461538461538463,1,0.1,0.3,0.8
SPH+CPI,5,0.6366666666666667,1.9947643979057592,1,0.1,0.3,0.8
SPH+CPI,6,0.67,2.1940298507462686,1,0.1,0.3,0.8
SPH+CPI,7,0.7033333333333334,2.4218009478672986,1,0.1,0.3,0.8
SPH+CPI,8,0.73,2.625570776255708,1,0.1,0.3,0.8
SPH+CPI,9,0.76,2.8771929824561404,1,0.1,0.3,0.8
SPH+CPI,10,0.78,3.0598290598290596,1,0.1,0.3,0.8
SPH+CPI,1,0.27666666666666667,1.0,1,0.1,0.3,0.85
SPH+CPI,2,0.42,1.3412698412698412,1,0.1,0.3,0.85
SPH+CPI,3,0.54,1.7098765432098766,1,0.1,0.3,0.85
SPH+CPI,4,0.5866666666666667,1.8920454545454546,1,0.1,0.3,0.85
SPH+CPI,5,0.64,2.1510416666666665,1,0.1,0.3,0.85
SPH+CPI,6,0.6733333333333333,2.3415841584158414,1,0.1,0.3,0.85
SPH+CPI,7,0.7,2.519047619047619,1,0.1,0.3,0.85
SPH+CPI,8,0.7133333333333334,2.621495327102804,1,0.1,0.3,0.85
SPH+CPI,9,0.7366666666666667,2.823529411764706,1,0.1,0.3,0.85
SPH+CPI,10,0.7533333333333333,2.982300884955752,1,0.1,0.3,0.85
SPH+CPI,1,0.25,1.0,1,0.1,0.3,0.9
SPH+CPI,2,0.38,1.3421052631578947,1,0.1,0.3,0.9
SPH+CPI,3,0.48,1.6875,1,0.1,0.3,0.9
SPH+CPI,4,0.53,1.9056603773584906,1,0.1,0.3,0.9
SPH+CPI,5,0.5866666666666667,2.2045454545454546,1,0.1,0.3,0.9
SPH+CPI,6,0.62,2.4086021505376345,1,0.1,0.3,0.9
SPH+CPI,7,0.6766666666666666,2.793103448275862,1,0.1,0.3,0.9
SPH+CPI,8,0.7033333333333334,2.990521327014218,1,0.1,0.3,0.9
SPH+CPI,9,0.7433333333333333,3.31390134529148,1,0.1,0.3,0.9
SPH+CPI,10,0.7633333333333333,3.489082969432314,1,0.1,0.3,0.9
SPH+CPI,1,0.31,1.0,1,0.1,0.35,0.7
SPH+CPI,2,0.4533333333333333,1.3161764705882353,1,0.1,0.35,0.7
SPH+CPI,3,0.5666666666666667,1.6529411764705881,1,0.1,0.35,0.7
SPH+CPI,4,0.65,1.9538461538461538,1,0.1,0.35,0.7
SPH+CPI,5,0.71,2.211267605633803,1,0.1,0.35,0.7
SPH+CPI,6,0.7266666666666667,2.2981651376146788,1,0.1,0.35,0.7
SPH+CPI,7,0.7466666666666667,2.424107142857143,1,0.1,0.35,0.7
SPH+CPI,8,0.7533333333333333,2.4734513274336285,1,0.1,0.35,0.7
SPH+CPI,9,0.7766666666666666,2.6695278969957084,1,0.1,0.35,0.7
SPH+CPI,10,0.8,2.8833333333333333,1,0.1,0.35,0.7
SPH+CPI,1,0.31,1.0,1,0.1,0.35,0.75
SPH+CPI,2,0.4633333333333333,1.330935251798561,1,0.1,0.35,0.75
SPH+CPI,3,0.5666666666666667,1.6352941176470588,1,0.1,0.35,0.75
SPH+CPI,4,0.6366666666666667,1.8952879581151831,1,0.1,0.35,0.75
SPH+CPI,5,0.69,2.135265700483092,1,0.1,0.35,0.75
SPH+CPI,6,0.7233333333333334,2.313364055299539,1,0.1,0.35,0.75
SPH+CPI,7,0.7433333333333333,2.4394618834080717,1,0.1,0.35,0.75
SPH+CPI,8,0.7533333333333333,2.5132743362831858,1,0.1,0.35,0.75
SPH+CPI,9,0.7766666666666666,2.708154506437768,1,0.1,0.35,0.75
SPH+CPI,10,0.81,3.0082304526748973,1,0.1,0.35,0.75
SPH+CPI,1,0.3,1.0,1,0.1,0.35,0.8
SPH+CPI,2,0.48,1.375,1,0.1,0.35,0.8
SPH+CPI,3,0.5666666666666667,1.6235294117647059,1,0.1,0.35,0.8
SPH+CPI,4,0.6333333333333333,1.8736842105263158,1,0.1,0.35,0.8
SPH+CPI,5,0.6733333333333333,2.0594059405940595,1,0.1,0.35,0.8
SPH+CPI,6,0.6966666666666667,2.1913875598086126,1,0.1,0.35,0.8
SPH+CPI,7,0.72,2.3472222222222223,1,0.1,0.35,0.8
SPH+CPI,8,0.74,2.5,1,0.1,0.35,0.8
SPH+CPI,9,0.77,2.7532467532467533,1,0.1,0.35,0.8
SPH+CPI,10,0.8,3.025,1,0.1,0.35,0.8
SPH+CPI,1,0.27666666666666667,1.0,1,0.1,0.35,0.85
SPH+CPI,2,0.44666666666666666,1.3805970149253732,1,0.1,0.35,0.85
SPH+CPI,3,0.5533333333333333,1.6927710843373494,1,0.1,0.35,0.85
