,#Samples,missing,#Features,#Classes,Gini,#SPH,#CPI,Method,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
0,0.0,0.0,0.0,0.0,0.0,0,0,RF,1,,,,,,
0,82.61,14.045514525796793,96.03,26.95,0.34820588168552696,0,0,KMeans,1,10.0,KMeans,,,,
0,53.404444444444444,11.542271259960597,91.16444444444444,18.56,0.32866121879269566,0,0,KMeans,1,15.0,KMeans,,,,
0,39.427499999999995,10.148864821944018,88.515,15.6975,0.29643960457331536,0,0,KMeans,1,20.0,KMeans,,,,
0,31.2416,9.394576662197574,87.02720000000001,12.771199999999999,0.28780106981640885,0,0,KMeans,1,25.0,KMeans,,,,
0,29.995562130177515,9.33896582669869,86.95118343195267,11.862426035502958,0.2614788665904786,0,0,KMeans,1,26.0,KMeans,,,,
0,25.86777777777778,8.59307871014751,85.9388888888889,11.366666666666667,0.24967403200140129,0,0,KMeans,1,30.0,KMeans,,,,
0,22.070204081632653,7.760137694049992,84.78367346938776,9.962448979591837,0.24610512799280906,0,0,KMeans,1,35.0,KMeans,,,,
0,19.244374999999998,8.191566257177852,84.74187500000001,9.17375,0.2231537534536292,0,0,KMeans,1,40.0,KMeans,,,,
0,17.059753086419754,6.521445356731255,82.89086419753086,7.927901234567902,0.18976850088143551,0,0,KMeans,1,45.0,KMeans,,,,
0,15.3204,8.03058377263055,84.25200000000001,8.2212,0.19626808410260516,0,0,KMeans,1,50.0,KMeans,,,,
0,82.61,11.784599176806745,93.72,27.060000000000002,0.36719249836360157,0,0,Birch,1,10.0,Birch,,,,
0,53.404444444444444,10.002725141941513,89.6,19.76888888888889,0.3285169762464647,0,0,Birch,1,15.0,Birch,,,,
0,39.427499999999995,8.795288493161554,87.255,15.1725,0.28032311782372443,0,0,Birch,1,20.0,Birch,,,,
0,31.2416,7.811376779155714,85.6128,12.272,0.26687231435688347,0,0,Birch,1,25.0,Birch,,,,
0,29.995562130177515,7.6830589531500095,85.35355029585799,11.862426035502958,0.2608881602624265,0,0,Birch,1,26.0,Birch,,,,
0,25.86777777777778,7.246182896033532,84.5611111111111,10.29888888888889,0.268716972310784,0,0,Birch,1,30.0,Birch,,,,
0,22.070204081632653,7.018480474120964,83.93142857142857,9.462857142857143,0.2516854247402203,0,0,Birch,1,35.0,Birch,,,,
0,19.244374999999998,6.686797546461793,83.358125,8.76375,0.22965088332460706,0,0,Birch,1,40.0,Birch,,,,
0,17.059753086419754,6.280409411635638,82.8,7.905185185185186,0.20698107022387002,0,0,Birch,1,45.0,Birch,,,,
0,15.3204,5.879025275450316,82.08959999999999,7.3848,0.19083426096771383,0,0,Birch,1,50.0,Birch,,,,
0,82.61,13.791222531443221,95.59,25.3,0.3531977968261583,0,0,GMM,1,,GMM,10.0,,,
0,53.404444444444444,11.085748507010823,90.73777777777778,19.413333333333334,0.3041390931566688,0,0,GMM,1,,GMM,15.0,,,
0,39.427499999999995,10.947619613098984,89.1975,14.9625,0.2695894752837005,0,0,GMM,1,,GMM,20.0,,,
0,31.2416,9.962062882153509,87.48479999999999,13.1456,0.27843313407658626,0,0,GMM,1,,GMM,25.0,,,
0,29.995562130177515,9.552391920546446,87.07100591715977,12.142011834319526,0.24140544283730941,0,0,GMM,1,,GMM,26.0,,,
0,25.86777777777778,9.519739969402085,86.66222222222223,12.296666666666665,0.23984052136002537,0,0,GMM,1,,GMM,30.0,,,
0,22.070204081632653,8.701392908475263,85.31265306122448,9.962448979591837,0.22502692647974462,0,0,GMM,1,,GMM,35.0,,,
0,19.244374999999998,7.683202344548642,84.434375,9.045625,0.22103940033774533,0,0,GMM,1,,GMM,40.0,,,
0,17.059753086419754,7.877273175435869,84.32197530864198,8.632098765432099,0.21870999695686247,0,0,GMM,1,,GMM,45.0,,,
0,15.3204,6.824447186986561,83.1504,7.9968,0.19167175270899392,0,0,GMM,1,,GMM,50.0,,,
0,129.58620689655172,9.074226133869548,84.27586206896552,16.06896551724138,0.20315988443223165,7,0,SPH,1,,,,0.25,,
0,129.58620689655172,9.074226133869548,84.27586206896552,16.06896551724138,0.20315988443223165,7,0,SPH,1,,,,0.3,,
0,125.06896551724138,8.409336717106067,83.62068965517241,15.172413793103448,0.20187481268239224,6,0,SPH,1,,,,0.35,,
0,125.06896551724138,8.409336717106067,83.62068965517241,15.172413793103448,0.20187481268239224,6,0,SPH,1,,,,0.4,,
0,107.37142857142857,10.256916396127114,85.45714285714286,13.314285714285715,0.1679642348373978,7,6,SPH+CPI,1,,,,0.25,0.3,0.7
0,107.37142857142857,10.256197401769889,85.45714285714286,13.314285714285715,0.16832578062373854,7,6,SPH+CPI,1,,,,0.25,0.3,0.75
0,107.37142857142857,10.251701747629687,85.45714285714286,13.314285714285715,0.1707477457582756,7,6,SPH+CPI,1,,,,0.25,0.3,0.8
0,107.37142857142857,10.246186671987205,85.45714285714286,13.314285714285715,0.1692379411811189,7,6,SPH+CPI,1,,,,0.25,0.3,0.85
0,107.37142857142857,10.233062820555123,85.45714285714286,13.314285714285715,0.1669108404279072,7,6,SPH+CPI,1,,,,0.25,0.3,0.9
0,113.87878787878788,10.016146010365304,85.21212121212122,14.121212121212121,0.17992595736914146,7,4,SPH+CPI,1,,,,0.25,0.35,0.7
0,113.87878787878788,10.01538344059249,85.21212121212122,14.121212121212121,0.18030941502132106,7,4,SPH+CPI,1,,,,0.25,0.35,0.75
0,113.87878787878788,10.013647194909646,85.21212121212122,14.121212121212121,0.18026174842799667,7,4,SPH+CPI,1,,,,0.25,0.35,0.8
0,113.87878787878788,10.007797872258532,85.21212121212122,14.121212121212121,0.1786604405431335,7,4,SPH+CPI,1,,,,0.25,0.35,0.85
0,113.87878787878788,10.009430382380591,85.21212121212122,14.121212121212121,0.17704934326127927,7,4,SPH+CPI,1,,,,0.25,0.35,0.9
0,125.26666666666667,8.93740463419037,84.13333333333334,15.533333333333333,0.19109181974859035,7,1,SPH+CPI,1,,,,0.25,0.4,0.7
0,125.26666666666667,8.93740463419037,84.13333333333334,15.533333333333333,0.19109181974859035,7,1,SPH+CPI,1,,,,0.25,0.4,0.75
0,125.26666666666667,8.93740463419037,84.13333333333334,15.533333333333333,0.19109181974859035,7,1,SPH+CPI,1,,,,0.25,0.4,0.8
0,125.26666666666667,8.93740463419037,84.13333333333334,15.533333333333333,0.19109181974859035,7,1,SPH+CPI,1,,,,0.25,0.4,0.85
0,125.26666666666667,8.936079003086293,84.13333333333334,15.533333333333333,0.19140476558532435,7,1,SPH+CPI,1,,,,0.25,0.4,0.9
0,107.37142857142857,10.256916396127114,85.45714285714286,13.314285714285715,0.1679642348373978,7,6,SPH+CPI,1,,,,0.3,0.3,0.7
0,107.37142857142857,10.256197401769889,85.45714285714286,13.314285714285715,0.16832578062373854,7,6,SPH+CPI,1,,,,0.3,0.3,0.75
0,107.37142857142857,10.251701747629687,85.45714285714286,13.314285714285715,0.1707477457582756,7,6,SPH+CPI,1,,,,0.3,0.3,0.8
0,107.37142857142857,10.246186671987205,85.45714285714286,13.314285714285715,0.1692379411811189,7,6,SPH+CPI,1,,,,0.3,0.3,0.85
0,107.37142857142857,10.233062820555123,85.45714285714286,13.314285714285715,0.1669108404279072,7,6,SPH+CPI,1,,,,0.3,0.3,0.9
0,113.87878787878788,10.016146010365304,85.21212121212122,14.121212121212121,0.17992595736914146,7,4,SPH+CPI,1,,,,0.3,0.35,0.7
0,113.87878787878788,10.01538344059249,85.21212121212122,14.121212121212121,0.18030941502132106,7,4,SPH+CPI,1,,,,0.3,0.35,0.75
0,113.87878787878788,10.013647194909646,85.21212121212122,14.121212121212121,0.18026174842799667,7,4,SPH+CPI,1,,,,0.3,0.35,0.8
0,113.87878787878788,10.007797872258532,85.21212121212122,14.121212121212121,0.1786604405431335,7,4,SPH+CPI,1,,,,0.3,0.35,0.85
0,113.87878787878788,10.009430382380591,85.21212121212122,14.121212121212121,0.17704934326127927,7,4,SPH+CPI,1,,,,0.3,0.35,0.9
0,125.26666666666667,8.93740463419037,84.13333333333334,15.533333333333333,0.19109181974859035,7,1,SPH+CPI,1,,,,0.3,0.4,0.7
0,125.26666666666667,8.93740463419037,84.13333333333334,15.533333333333333,0.19109181974859035,7,1,SPH+CPI,1,,,,0.3,0.4,0.75
0,125.26666666666667,8.93740463419037,84.13333333333334,15.533333333333333,0.19109181974859035,7,1,SPH+CPI,1,,,,0.3,0.4,0.8
0,125.26666666666667,8.93740463419037,84.13333333333334,15.533333333333333,0.19109181974859035,7,1,SPH+CPI,1,,,,0.3,0.4,0.85
0,125.26666666666667,8.936079003086293,84.13333333333334,15.533333333333333,0.19140476558532435,7,1,SPH+CPI,1,,,,0.3,0.4,0.9
0,103.62857142857143,9.706008022237373,84.91428571428571,12.571428571428571,0.16689946110181664,6,6,SPH+CPI,1,,,,0.35,0.3,0.7
0,103.62857142857143,9.705289027880148,84.91428571428571,12.571428571428571,0.16726100688815737,6,6,SPH+CPI,1,,,,0.35,0.3,0.75
0,103.62857142857143,9.700793373739948,84.91428571428571,12.571428571428571,0.16968297202269436,6,6,SPH+CPI,1,,,,0.35,0.3,0.8
0,103.62857142857143,9.695278298097467,84.91428571428571,12.571428571428571,0.1681731674455377,6,6,SPH+CPI,1,,,,0.35,0.3,0.85
0,103.62857142857143,9.682154446665384,84.91428571428571,12.571428571428571,0.16584606669232602,6,6,SPH+CPI,1,,,,0.35,0.3,0.9
0,109.9090909090909,9.431849250179214,84.63636363636364,13.333333333333334,0.17879665189200986,6,4,SPH+CPI,1,,,,0.35,0.35,0.7
0,109.9090909090909,9.4310866804064,84.63636363636364,13.333333333333334,0.17918010954418945,6,4,SPH+CPI,1,,,,0.35,0.35,0.75
